datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,windspeedmax,windspeedmean,sunrise,sunset,normal.tempmax,normal.tempmin,normal.feelslike,normal.precip,normal.humidity,normal.snowdepth,normal.windspeed,normal.windgust,normal.winddir,normal.cloudcover
2023-09-01,18.1,9.5,14.3,18.1,8.3,14.2,10.4,77.7,0.088,4.17,['rain'],0.0,0.0,46.8,20.7,217.9,1017.3,79.3,34.0,127.9,11.0,5.0,20.7,11.6,06:03:17,19:32:17,"[11.5, 19.2, 31.5]","[6.9, 10.6, 16.2]","[4.8, 19.2, 30.5]","[0.0, 7.7, 43.7]","[54.4, 78.2, 97.2]","[0.0, 0.0, 0.0]","[11.9, 21.2, 29.5]","[39.6, 55.1, 111.6]","[30.3, 182.8, 327.7]","[4.7, 62.4, 100.0]"
2023-09-02,21.3,15.0,17.7,21.3,15.0,17.7,14.2,81.1,2.185,8.33,['rain'],0.0,0.0,43.2,12.9,286.5,1019.7,77.6,36.2,209.2,18.2,8.0,12.9,9.2,06:04:44,19:30:11,"[12.3, 18.5, 23.6]","[6.3, 10.4, 14.8]","[3.0, 18.5, 23.6]","[0.0, 4.0, 24.9]","[61.4, 78.0, 96.6]","[0.0, 0.0, 0.0]","[9.4, 19.1, 29.9]","[39.6, 55.1, 75.6]","[28.5, 176.3, 288.1]","[7.4, 63.7, 99.5]"
2023-09-03,19.2,14.3,16.3,19.2,14.3,16.3,12.6,79.9,0.229,16.67,['rain'],0.0,0.0,50.4,15.3,344.3,1023.4,87.9,29.0,175.2,15.2,10.0,15.3,10.2,06:06:11,19:28:06,"[11.0, 19.5, 25.8]","[5.7, 10.4, 15.2]","[3.2, 19.5, 25.8]","[0.0, 2.7, 19.4]","[62.4, 76.6, 93.4]","[0.0, 0.0, 0.0]","[11.5, 20.9, 36.0]","[28.8, 58.3, 79.2]","[38.0, 175.5, 314.5]","[17.0, 60.1, 100.0]"
2023-09-04,18.5,11.9,14.7,18.5,11.9,14.7,9.9,73.9,0.084,4.17,['rain'],0.0,0.0,54.0,17.5,14.2,1027.3,49.5,31.7,171.2,14.9,7.0,17.5,13.1,06:07:39,19:25:59,"[11.1, 19.3, 26.3]","[6.3, 10.8, 16.2]","[2.8, 19.3, 26.3]","[0.0, 2.6, 13.5]","[65.4, 77.6, 92.8]","[0.0, 0.0, 0.0]","[10.8, 20.5, 36.7]","[39.6, 57.2, 90.0]","[43.3, 189.0, 288.3]","[8.3, 60.7, 100.0]"
2023-09-05,24.2,9.4,15.7,24.2,7.9,15.4,9.9,71.2,0.0,0.0,,0.0,0.0,43.2,12.2,59.9,1026.1,16.9,31.7,239.3,20.6,7.0,12.2,8.1,06:09:06,19:23:52,"[7.7, 19.4, 27.4]","[3.4, 10.6, 14.7]","[-3.5, 19.4, 27.2]","[0.0, 2.7, 32.1]","[66.7, 77.5, 91.3]","[0.0, 0.0, 0.0]","[9.0, 22.0, 50.4]","[43.2, 63.0, 100.8]","[33.8, 157.0, 269.7]","[21.0, 55.9, 94.3]"
2023-09-06,25.0,10.6,17.0,25.0,10.6,17.0,10.7,69.0,0.0,0.0,,0.0,0.0,16.9,8.8,332.6,1024.3,7.8,33.4,232.0,19.9,7.0,8.8,6.7,06:10:33,19:21:45,"[12.7, 18.7, 27.1]","[3.2, 9.4, 14.7]","[0.9, 18.7, 27.1]","[0.0, 5.3, 49.9]","[67.1, 78.5, 96.8]","[0.0, 0.0, 0.0]","[11.5, 20.2, 36.7]","[43.2, 56.5, 97.2]","[35.0, 178.1, 259.9]","[11.3, 56.4, 100.0]"
2023-09-07,25.4,11.5,17.7,25.4,11.5,17.7,11.5,68.3,0.0,0.0,,0.0,0.0,21.2,15.5,45.0,1024.4,9.7,28.2,231.5,20.1,7.0,15.5,8.6,06:12:00,19:19:37,"[10.9, 19.3, 24.1]","[3.9, 9.8, 16.3]","[0.9, 19.3, 24.1]","[0.0, 4.3, 74.3]","[63.6, 76.3, 92.5]","[0.0, 0.0, 0.0]","[9.4, 20.2, 34.6]","[39.6, 63.7, 90.0]","[51.6, 194.1, 285.1]","[2.6, 51.6, 99.6]"
2023-09-08,24.9,11.9,18.3,24.9,11.9,18.3,12.6,72.0,0.0,0.0,,0.0,0.0,13.7,7.8,287.1,1022.6,9.2,30.6,226.5,19.5,7.0,7.8,5.3,06:13:27,19:17:29,"[12.3, 19.1, 25.2]","[4.5, 9.9, 13.5]","[1.9, 19.1, 25.2]","[0.0, 4.1, 21.7]","[58.7, 76.7, 98.5]","[0.0, 0.0, 0.0]","[10.4, 22.0, 31.3]","[39.6, 60.5, 82.8]","[75.0, 203.6, 317.9]","[13.9, 52.7, 99.4]"
2023-09-09,25.6,12.8,18.9,25.6,12.8,18.9,13.2,72.2,0.0,0.0,,0.0,0.0,12.2,7.4,286.0,1020.5,27.6,27.7,220.1,19.0,7.0,7.4,5.2,06:14:55,19:15:21,"[11.9, 19.4, 25.9]","[4.8, 10.0, 13.4]","[1.8, 19.4, 25.9]","[0.0, 3.5, 32.5]","[62.3, 76.1, 94.5]","[0.0, 0.0, 0.0]","[11.5, 22.7, 50.4]","[39.6, 60.1, 86.4]","[65.8, 177.6, 277.5]","[8.0, 51.4, 96.6]"
2023-09-10,26.5,13.4,19.3,26.5,13.4,19.3,12.9,69.0,0.0,0.0,,0.0,0.0,28.8,11.5,236.2,1019.1,16.8,30.5,219.8,18.9,7.0,11.5,8.7,06:16:22,19:13:12,"[11.9, 19.8, 25.5]","[2.7, 9.8, 14.0]","[0.7, 19.8, 25.5]","[0.0, 0.5, 5.8]","[57.6, 75.7, 89.8]","[0.0, 0.0, 0.0]","[9.4, 20.2, 39.6]","[39.6, 54.4, 75.6]","[35.5, 173.1, 274.3]","[9.5, 52.8, 86.7]"
